Query_Number;Query_Text
36;['CONCENTRATION', 'POTASSIUM', 'SWEAT', 'CF', 'PATIENTS']
37;['TECHNIQUES', 'AVAILABLE', 'SCREENING', 'NEWBORN', 'INFANTS', 'CF', 'FACTORS', 'CONTRIBUTE', 'ERRONEOUS', 'RESULTS', 'TESTS']
38;['CF', 'DIAGNOSED', 'PRENATALLY']
39;['MAY', 'HETEROZYGOTES', 'CF', 'IDENTIFIED']
40;['SWEAT', 'TEST', 'TECHNIQUES', 'MAY', 'USEFUL', 'BEYOND', 'NEONATAL', 'PERIOD', 'DIAGNOSIS', 'CF']
41;['VITAMIN', 'METABOLISM', 'NORMAL', 'CF', 'PATIENTS']
42;['ABNORMALITIES', 'INSULIN', 'SECRETION', 'INSULIN', 'METABOLISM', 'OCCUR', 'CF', 'PATIENTS']
43;['SALT', 'SODIUM', 'CHLORIDE', 'TRANSPORT', 'PERMEABILITY', 'ABNORMAL', 'CF']
44;['STRUCTURAL', 'ENZYMATIC', 'DIFFERENCES', 'FIBROBLASTS', 'CF', 'PATIENTS', 'NON', 'CF', 'PATIENTS']
45;['ABNORMALITIES', 'PROSTAGLANDIN', 'METABOLISM', 'DESCRIBED', 'CF', 'PATIENTS']
46;['PROPERTIES', 'ACTIVITY', 'GALACTOSYLTRANSFERASE', 'ENZYMES', 'CF', 'PATIENTS']
47;['DIFFERENCES', 'NORMAL', 'SUBJECTS', 'CF', 'PATIENTS', 'DESCRIBED', 'FUNCTION', 'METABOLISM', 'HORMONES']
48;['FIBROBLASTS', 'CF', 'PATIENTS', 'GROW', 'NORMAL', 'RATE']
49;['RNA', 'METHYLATION', 'POLYAMINE', 'METABOLISM', 'NORMAL', 'CF', 'PATIENTS']
50;['DEFECTS', 'SYNTHESIS', 'METABOLISM', 'CYCLIC', 'NUCLEOTIDES', 'DESCRIBED', 'CF', 'PATIENTS']
51;['CIRCULATING', 'SECRETED', 'FACTORS', 'DESCRIBED', 'CF', 'PATIENTS', 'FACTORS', 'UNIDENTIFIED', 'BIOLOGICALLY', 'ACTIVE', 'MOLECULES', 'THOUGHT', 'PLAY', 'PATHOGENETIC', 'ROLE', 'CYSTIC', 'FIBROSIS']
52;['KNOWN', 'PROLACTIN', 'CF', 'PATIENTS']
53;['SECRETORY', 'IGA', 'PROTECT', 'CF', 'PATIENTS', 'BACTERIAL', 'COLONIZATION', 'INFECTION']
54;['RELATIONSHIP', 'ALLERGY', 'HYPERSENSITIVITY', 'LUNG', 'DISEASE', 'CF', 'PATIENTS']
55;['INTERACTIONS', 'PROTEASES', 'ENDOGENOUS', 'BACTERIAL', 'ORIGIN', 'ANTIPROTEASES', 'LUNGS', 'CF', 'PATIENTS']
56;['RELATIONSHIP', 'NUTRITION', 'PULMONARY', 'HOST', 'DEFENSES', 'BACTERIAL', 'INFECTION', 'CF', 'PATIENTS']
57;['PATHOPHYSIOLOGIC', 'ROLE', 'CIRCULATING', 'ANTIBODIES', 'PSEUDOMONAS', 'AERUGINOSA', 'CF', 'PATIENTS']
58;['IMMUNOLOGIC', 'RESPONSE', 'PULMONARY', 'INFECTION', 'CF', 'PATIENTS']
59;['IMMUNOLOGIC', 'ABNORMALITIES', 'FOUND', 'CF', 'PATIENTS']
60;['EFFECTS', 'CF', 'PULMONARY', 'CIRCULATION']
61;['DEFECT', 'MUCOCILIARY', 'TRANSPORT', 'CLEARANCE', 'RESPIRATORY', 'TRACT', 'CF', 'PATIENTS']
62;['CLINICAL', 'FEATURES', 'LUNG', 'DISEASE', 'CF', 'PATIENTS']
63;['BIOCHEMICAL', 'MICROSCOPIC', 'CHARACTERISTICS', 'AIRWAY', 'INFLAMMATION', 'CF', 'PATIENTS']
64;['LUNG', 'FUNCTION', 'CHANGE', 'TIME', 'CF', 'PATIENTS', 'TIME', 'PERIODS', 'GREATER', 'DAY']
65;['ABNORMALITIES', 'PULMONARY', 'FUNCTION', 'CF', 'PATIENTS']
66;['PATHOLOGIC', 'FEATURES', 'LUNG', 'DISEASE', 'CF', 'PATIENTS']
67;['PROGNOSIS', 'PATIENTS', 'EPISODE', 'RESPIRATORY', 'FAILURE']
68;['EFFECTS', 'BRONCHODILATORS', 'CF', 'PATIENTS']
69;['BEST', 'WAY', 'TREAT', 'PNEUMOTHORAX', 'CF', 'PATIENTS']
70;['TREATMENT', 'PROGNOSIS', 'HEMOPTYSIS', 'CF', 'PATIENTS']
71;['PROGNOSIS', 'INFANTS', 'WHEEZING', 'CYSTIC', 'FIBROSIS']
72;['BEST', 'TREATMENT', 'NASAL', 'POLYPS', 'CF', 'PATIENTS']
73;['EFFECTIVE', 'BRONCHIAL', 'LAVAGE', 'CF', 'PATIENTS']
74;['RESULTS', 'MECHANICAL', 'VENTILATION', 'CF', 'PATIENTS', 'RESPIRATORY', 'FAILURE']
75;['BEST', 'TREATMENT', 'PULMONARY', 'HYPERTENSION', 'COR', 'PULMONALE', 'CF', 'PATIENTS']
76;['EFFECTS', 'EXERCISE', 'TRAINING', 'PROGRAMS', 'LUNG', 'FUNCTION', 'CF', 'PATIENTS']
77;['TECHNIQUES', 'EFFECTIVE', 'PROMOTING', 'CLEARANCE', 'MUCUS', 'LUNGS', 'CF', 'PATIENTS']
78;['SPECIAL', 'CONSIDERATIONS', 'TREATMENT', 'CF', 'PATIENTS', 'ANTIBIOTICS', 'IE', 'PHARMACODYNAMICS', 'ANTIBIOTICS', 'DIFFERENT', 'CF', 'PATIENTS', 'SPECIAL', 'PROBLEMS', 'PECULIAR', 'CF']
79;['ROLE', 'ORALLY', 'ADMINISTERED', 'ANTIBIOTICS', 'TREATMENT', 'CF', 'PATIENTS']
80;['EVIDENCE', 'COMBINATION', 'THERAPY', 'AMINOGLYCOSIDES', 'SEMISYNTHETIC', 'PENICILLINS', 'EFFECTIVE', 'THERAPY', 'EITHER', 'ALONE']
81;['EFFECTIVE', 'INHALATIONS', 'MUCOLYTIC', 'AGENTS', 'TREATMENT', 'CF', 'PATIENTS']
82;['ROLE', 'AEROSOLS', 'TREATMENT', 'LUNG', 'DISEASE', 'CF', 'PATIENTS']
83;['ROLE', 'BACTERIAL', 'PHAGOCYTOSIS', 'ALVEOLAR', 'MACROPHAGES', 'POLYMORPHONUCLEAR', 'LEUKOCYTES', 'LUNG', 'DISEASE', 'CF', 'PATIENTS']
84;['RELATIONSHIP', 'HAEMOPHILUS', 'INFLUENZAE', 'PSEUDOMONAS', 'AERUGINOSA', 'CF', 'PATIENTS']
85;['CF', 'PATIENTS', 'EVER', 'DEVELOP', 'INFECTION', 'ORGANS', 'LUNG', 'ORGANS']
86;['ROLE', 'BACTERIA', 'PSEUDOMONAS', 'AERUGINOSA', 'STAPHYLOCOCCUS', 'AUREUS', 'HAEMOPHILUS', 'INFLUENZAE', 'PATHOGENESIS', 'LUNG', 'DISEASE', 'CF', 'PATIENTS']
87;['ROLE', 'FUNGI', 'PATHOGENESIS', 'LUNG', 'DISEASE', 'CF', 'PATIENTS']
88;['ROLE', 'VIRAL', 'INFECTION', 'LUNG', 'DISEASE', 'CF', 'PATIENTS']
89;['EPIDEMIOLOGY', 'PSEUDOMONAS', 'AERUGINOSA', 'CF', 'PATIENTS', 'SPECIFICALLY', 'CF', 'PATIENTS', 'SPREAD', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS', 'INDIVIDUALS', 'FAMILY']
90;['FACTORS', 'RESPONSIBLE', 'APPEARANCE', 'MUCOID', 'STRAINS', 'PSEUDOMONAS', 'AERUGINOSA', 'CF', 'PATIENTS']
91;['UNUSUAL', 'MANIFESTATIONS', 'CF', 'LUNG', 'DISEASE', 'EXOCRINE', 'PANCREATIC', 'INSUFFICIENCY']
92;['PROGNOSIS', 'SURVIVAL', 'PATIENTS', 'CF']
94;['ANIMAL', 'MODELS', 'AVAILABLE', 'RELEVANT', 'CF']
95;['ABNORMALITIES', 'SKELETAL', 'MUSCLE', 'FUNCTION', 'STRUCTURE', 'FOUND', 'CF', 'PATIENTS']
96;['INCREASED', 'INCIDENCE', 'DENTAL', 'PROBLEMS', 'EG', 'CARIES', 'PERIODONTAL', 'DISEASE', 'CF', 'PATIENTS']
97;['OXYGEN', 'TRANSPORT', 'RED', 'BLOOD', 'CELLS', 'ABNORMAL', 'CF', 'PATIENTS']
98;['EFFECTS', 'CF', 'DEVELOPMENT', 'FUNCTION', 'BRAIN', 'CENTRAL', 'NERVOUS', 'SYSTEM']
99;['ABNORMALITIES', 'TASTE', 'CF', 'PATIENTS']
100;['INCIDENCE', 'TREATMENT', 'HYPERTROPHIC', 'OSTEOARTHROPATHY', 'CF', 'PATIENTS']
